Empresa,Yhaguy Repuestos,
,,
CODIGO,POSITIVO,NEGATIVO
CHA FR150TD,0,-3
HEL F90LE,0,-2
GT 100A2815,0,-2
GT 100A1527,1,0
GT 100A3251,0,-3
GT 100A1537,1,0
GT 100A381,0,-4
CON 15485660000,0,-2
CON 15493290000,1,0
GT 100A1518,1,0
GT 100A663,0,-1
GT 100A1519,0,-3
ART 195/70R14A600,1,0
GT 100A950,4,0
GT 100A2825,0,-9
GT 100A3070,1,0
CON 03579560000,0,-11
GT 100A1578,1,0
GT 100A825,2,0
CON 15485780000,2,0
CON 15508610000,0,-23
CON 20555R16 CPC,0,-2
GT 100A285,2,0
CON 15476250000,1,0
GT 100A1892,6,0
CON 03509500000,6,0
GT 100A1996,0,-1
F1660,4,0
CON 15481720000,4,0
GT 100A1440,0,-1
GT 100A2012,1,0
GT 100A1905,0,-1
GT 100A2580,0,-1
GT 100A1896,0,-1
GT 100A1444,1,0
GT GGHZ297,0,-4
GENT 15485200000,1,0
GT A556,4,0
GENT 04570420000,0,-1
GT 100A1770,0,-2
CON 15447960000,6,0
CON 03548630000,0,-2
CON 03541430000,4,0
GT 100A2301,2,0
ART P265/70R16 111T,0,-1
ART 265/70R16A1000,1,0
GT 100A1891,0,-2
GT 100A1775,4,0
CON 05210890000,0,-18
CON 05111080000,0,-2
LIN 29580R22.5,0,-1
CON 05210860000,0,-8
GT 100A1902,0,-9
GENT 05684050000,0,-4
ART 35X12.50R17A1000,0,-4
GT 100A1531,4,0
GT 100A1443,1,0
CON 05110480000,63,0
PLB8AC,0,-1
PLBS041,2,0
P26310-27100,67,0
PLB6355C,1,0
PABS032,0,-3
PAB9441,2,0
PABS163,0,-4
28113-3E000,0,-1
PABS037,1,0
PAB8731,0,-4
PABRC911,0,-1
PABWL31,0,-6
L16010-ST5-931,0,-14
PFBS006C,0,-36
PFB65481,2,0
L16010-ST5-930,15,0
L31911-02100,11,0
LOK201-20-490,0,-1
PFB55356,0,-5
PFB60222C,0,-1
PFB60222,1,0
PFBT8350,1,0
PFBS049,1,0
TEC BA-703,8,0
CB-5004,1,0
LAN DR-4561,0,-40
TEC ACP-003,5,0
TEC ACP-303,0,-5
AOY CF1810,0,-2
TEC ARS-9725,0,-1
PAR R60-10HP,0,-1
TEC AS-116,1,0
TEC PEL-677,3,0
PAR 2040TM-OR,0,-4
PAR 2040PM-OR,4,0
TEC ASR-941,0,-1
TEC ARL-8830,0,-22
TEC AR-1018,0,-1
TEC AR-1017,1,0
TEC PEC-3015,3,0
MAH LXS315,0,-2
MAH OX179D,1,0
MAH LA37,1,0
TEC ACP-724,0,-12
MAH LX804/S,118,0
TEC ARS-1182,1,0
PCBS4033,1,0
TEC PD-202/1,0,-1
MAH KX70D ECO,1,0
MAH OX380D ECO,3,0
AOY 13780-60G00,3,0
AOY 13780-63J00,0,-2
AOY 16546-7F002,1,0
AOY 16546-ED000,0,-5
AOY 17801-33040,0,-2
AOY 17801-54060,0,-2
AOY 28113-0X200,0,-4
AOY 28113-1G000,9,0
AOY 28113-1G100,0,-9
AOY 28113-2B000,1,0
MAH LA156,2,0
MAH LX1850/2,6,0
MAH LX752,1,0
MAH LX312,2,0
AOY OK72C-23-603,7,0
AOY MD603932,2,0
AOY 1500A286,0,-6
AOY OK71E23603,0,-8
MAH KL65,1,0
TEC PSD-420,6,0
TEC PSL-900,0,-6
TEC PSL-561,2,0
TEC PSL-675,1,0
15601-68010,2,0
WP-12300,1,0
TEC PSL-123,2,0
TEC PSL-560,0,-2
ME014833,6,0
LAN BL-2082,1,0
LUB LFP-923,0,-2
TEC PSL-417,12,0
LUB AF-7877,2,0
LUB LFH-4636,0,-1
TEC ACP-100,0,-2
TEC ACP-208,8,0
LUB LAF-7360,2,0
TEC AS-830,1,0
TEC AP-9834,1,0
TEC AP-9835,0,-2
TEC AP-7108,4,0
PABS113,51,0
TEC ARL-5139,0,-2
PABS101,2,0
PAB7167,0,-4
TEC FC-161,0,-6
TEC PSC-72/2,0,-18
F0TZ-9155-B,0,-1
LUB LFF-937,0,-10
MAS EC-208,7,0
LUB LFP-2268,0,-1
LUB LP-560,0,-3
CROS FB-15/4,17,0
H-929X,0,-1
L5-13211018-1,0,-2
LME-014838,0,-6
LPH-51-A,6,0
LPKO-1010,0,-20
LUB LFP-2222,0,-1
LUB LFP-3746,1,0
LUB LFP-4104,4,0
LUB LFP-8320,1,0
LUB LFP-8951,0,-8
LUB LP-151,42,0
LUB LP-163,0,-3
LUB LP-2243,1,0
LUB LP-229,1,0
LUB LP-2302,5,0
LUB LP-5565,0,-1
LUB LP-5611M,1,0
LUB LP-566,3,0
LUB LP-712,1,0
LUB LP-816,0,-2
LUB LP-8232,1,0
LUB P-856,0,-1
LUB PH-1218,4,0
LUB PH-2904,2,0
LUB PH-48,0,-1
PH-1218,0,-5
PH-51-A,0,-6
TEC PEL-310,1,0
LUB PH-2801,1,0
PLB5123 S/V,2,0
PLB5123C,0,-1
PLB5123 C/V,0,-1
TEC PSL-281,2,0
TEC PL-390,1,0
LECO-3003,0,-1
TEC PSL-156,0,-22
LAN BL-2116,2,0
LEA-262,63,0
TEC PSL-55,0,-12
TEC PSL-569,0,-2
TEC PSL-283,0,-11
TEC PSL-147,1,0
TEC PSL-714,0,-12
TEC PEL-106,0,-3
TEC PSL-340,0,-1
TEC PSL-958,1,0
TEC PSL-959,2,0
LUB LP-5578,1,0
TEC PSL-152,0,-12
L26310-27200,0,-61
TEC PSL-818,0,-2
LPKO-1011,31,0
TEC PSL-310,1,0
TEC PSL-190,0,-2
TEC PSL-325,0,-1
TEC PSL-321,5,0
L15601-68010,0,-2
TEC PSL-408,1,0
TEC PL-442,6,0
TEC PSL-301,32,0
LUB LFP-2244,4,0
TEC PSL-962,0,-19
TEC PL-519,0,-5
LUB P-964,0,-4
TEC PSL-327,2,0
LAN BL-2159,0,-2
MAH OC324,1,0
LUB P-141,0,-1
TEC TM4,1,0
TEC TM1,0,-13
TEC TM5,0,-12
TEC TM2,12,0
MAN H929/3,1,0
TEC PSL-174,0,-4
TEC PSL-171,0,-6
LUB LFP-5971,1,0
TEC PSL-134,0,-27
PLB8A,1,0
TEC PSL-338,6,0
TEC PSL-277,2,0
TEC PSL-418,1,0
TEC PSL-352,1,0
TEC PSL-300,2,0
LPKO-2501,6,0
17801-22020,1,0
LUB LAF-8598,0,-5
17801-35020,0,-1
AF-1046,4,0
AF-3956,12,0
AF-540,0,-1
AF-7870,2,0
AF-7887,0,-2
AF-8945,0,-1
AP-7108,0,-2
CROS FE-1035,1,0
CROS FE-822,0,-1
CROS FS-2580,0,-5
FLEE AF-1935M,0,-1
FLEE AF-25125M,2,0
FLEE AF-4533,0,-2
FLEE AF-876,0,-2
LAN EF-1002,11,0
LC-31190,1,0
LCF-810-CL,0,-1
LLAF-8408,0,-1
LLAF-965,5,0
LUB AF-3905,0,-1
LUB AF-3956,0,-6
LUB AF-7887,0,-4
LUB LAF-1784,0,-3
LUB LAF-1811,0,-3
LUB LAF-1953,0,-1
LUB LAF-290-A,1,0
LUB LAF-335,0,-1
LUB LAF-360,2,0
LUB LAF-3710,10,0
LUB LAF-3742,1,0
LUB LAF-3902,4,0
LUB LAF-46,1,0
LUB LAF-5516,13,0
LUB LAF-66,0,-5
LUB LAF-8002,2,0
LUB LAF-8078,1,0
LUB LAF-8124,0,-1
LUB LAF-851,0,-1
LUB LAF-8514,0,-1
LUB LAF-880,0,-1
LUB LAF-8805,1,0
M20078KS,0,-1
M20087HE,0,-1
MD603932,0,-2
NIT-1816,0,-1
PABS185,2,0
LAJ-206-A,1,0
AOY 16546-18000,2,0
AOY 16546-2S600,2,0
LUB AF-7831,0,-7
TECS AF-351T,1,0
AOY 17801-21060,2,0
AOY 17801-54170,0,-2
AOY 17801-68020,0,-5
PABS198,2,0
PABS049,0,-1
TEC ACP-818,0,-4
TEC ACP-906,0,-10
TEC ACP-886,5,0
TEC ACP-975,0,-6
TEC ACP-972,3,0
TEC AP-4807,1,0
TEC AP-4934,1,0
LAN EF-790-R,0,-1
EF-478,0,-1
LAMPI-1074,0,-1
TEC ARL-8832,10,0
LUB AF-4011,5,0
LAMPI-1085,1,0
TEC AP-7998,3,0
TEC ARL-4150,1,0
TEC ARL-4154,0,-15
TEC AR-6084,3,0
LUB AF-1043,0,-4
TEC ARL-9601,0,-4
LUB AF-1641,0,-2
TEC AP-7997,2,0
TEC ARS-5196,0,-6
LUB AF-1046,3,0
TEC ARL-9604,0,-6
TEC ART-6098,4,0
TEC ARL-6096,3,0
TEC ARL-6095,3,0
TEC AR-6196,0,-8
TEC ARL-8840,3,0
TEC ARS-2869,1,0
TEC ARL-8825,3,0
TEC ARL-8839,1,0
TEC ARL-6091,8,0
TEC ARL-6090,3,0
LUB AF-4518,10,0
LUB AF-7909,0,-2
LUB AF-4521,1,0
TEC ARL-2331,7,0
TEC AP-5080,1,0
TEC AS-820,10,0
TEC AS-810,2,0
TEC AS-835,0,-1
TEC AS-805,0,-10
TEC AS-950,1,0
TEC ASR-870,4,0
TEC ASR-868,0,-2
TEC ASR-203,0,-1
TEC ASR-806,2,0
TEC ASR-838,3,0
LUB AF-8943,1,0
PABS2218,1,0
LUB AF-8945,1,0
TEC AS-801,0,-1
TEC AP-9836,0,-1
TEC AP-8528,0,-8
TEC ARS-9838,1,0
TEC AP-2710,1,0
TEC ARL-5310,1,0
AOY MD603446,0,-2
AF-1612,1,0
LUB AF-3906,2,0
AOY 16546-9S001,0,-3
MIT ME-017246-FT,0,-1
LAN EF-727,1,0
EF-726,0,-2
AOY 16546-V0100,0,-6
TEC ARL-6094,0,-4
EF-633,0,-1
LAN EF-954-R,0,-2
TEC ARS-3003,1,0
TEC ARS-9837,2,0
TEC ARS-1013,1,0
TEC ARS-8842,3,0
TEC ARS-7109,3,0
TEC ARS-2868,0,-7
TEC ARS-1187,0,-2
TEC ARS-9840,1,0
TEC ARS-1189,0,-4
LAMP-048,0,-2
LAMP-062,0,-4
LAMP-117,8,0
LAN EF-783-R,0,-1
TEC AP-1185,0,-2
TEC ARS-1184,0,-7
TEC AP-4650/1,0,-3
TEC AP-1186,0,-4
TEC AP-4650,1,0
LUB AF-7870,0,-2
LUB LAF-5590,0,-1
TEC ARL-7710,5,0
L17801-22020,0,-20
AOY 17801-22020,0,-2
LUB LAF-1964,1,0
TEC ARS-7065,0,-3
17801-21030,5,0
L17801-23030,0,-5
TEC ARS-8889,0,-2
LAMP-044,0,-39
TEC AP-5571,0,-3
TEC AP-5573,1,0
AOY CF1440/1,1,0
LUB LAF-1759,1,0
TEC ASR-353,0,-1
TEC ACP-887,6,0
TEC PD-202,6,0
TEC PSC-996,0,-1
TEC GU-86,1,0
TEC PSC-73/1,33,0
PFBS020,9,0
TEC PC-949,0,-6
TEC PC-811,6,0
STA BI-5010,0,-8
TEC GI-40/7,6,0
TEC GI-04/7,0,-6
TEC PC-162-A,2,0
TEC PEC-3021,0,-2
TEC PD-204/1,1,0
TEC PSD-960/1,1,0
TEC GI-07/1,0,-1
LUB LFP-2000-C,1,0
16405-02N10,1,0
FLEE FF-5029,1,0
FLEE FS-19531,1,0
LUB G-1010,0,-2
LUB L-3235-F,23,0
LUB L-3580-F,0,-1
LUB LFF-5740,1,0
LUB LFF-5926,1,0
MC-191,0,-1
PAR R120-30MB,6,0
PFBS002C,1,0
PFBS002,0,-1
PFBS037,0,-1
LMC-199,0,-1
LEC-201/1,50,0
LUB LFF-3553,1,0
TEC PC-2/155,0,-6
TEC PC-2/255,6,0
LMC-161,0,-15
23390-0L010,0,-1
L23300-87401,0,-1
TEC PSC-496,0,-4
TEC FC-164,0,-6
TEC PSC-100,2,0
LMC-173,0,-1
LMC-175,0,-2
TEC PSC-498/1,0,-1
TEC PSC-498,10,0
LMC-192,0,-6
LMCP-204,1,0
TEC PSC-498/3,0,-10
TEC PSC-745,1,0
LMC-176,0,-3
L31922-2E900,38,0
TEC PSC-998,11,0
LAN BR-90-HM,0,-4
TEC PSC-455,0,-1
LAN BR-90-PM,5,0
LAN BR-26-H,1,0
LMR212200,0,-1
LAN BR-1080-P,1,0
LRC-351,1,0
LUB L-8994-F,0,-2
PFBRF03C,56,0
TEC PSC-84,0,-7
LAN BR-90H,4,0
23390-64450,1,0
PFBS020C,0,-9
PFB55144,5,0
PFB55144C,0,-6
LAN BR-1086-P,0,-2
TEC PSC-353,0,-1
TEC AG-68,2,0
LAN BR-1178,0,-11
LUB 262-F,15,0
LUB LFF-3290,1,0
LUB LFP-8642,1,0
L23303-64010,1,0
LL-8681-F,0,-1
LSB-2964,2,0
LUB LFF-3806,0,-2
LUB LFF-8010,0,-1
LUB LFF-8063,6,0
LUB LFF-870,3,0
LUB LFP-8316-G,3,0
LUB LFP-925-F,0,-5
TEC FC-165,0,-1
TEC PSD-530/1,5,0
LUB FP-570-F,1,0
TEC PD-204,0,-1
TEC PSD-964,0,-1
23303-64010,14,0
TEC PSD-460/1,7,0
TEC PSL-909,1,0
TEC PSA-761,2,0
LUB T-153,0,-3
TEC ACP-009,0,-20
LUB LFF-5950,1,0
L29920,1,0
LHP-2222,1,0
LUB LFH-4990,1,0
LUB LFH-4902,2,0
FLEE HF-6337,0,-1
LUB LFH-3762,3,0
LUB LFH-4936,4,0
LUB LFH-6812,1,0
LUB LH-4265,0,-5
TEC PSH-962,19,0
TEC PSH-173,10,0
TEC PSH-211,1,0
LAN HF-3049,1,0
TEC PSH-012,2,0
TEC PSH-111,3,0
TEC TH-661,4,0
TEC PSH-112,0,-3
FLEE HF-6162,11,0
HF-3105,0,-3
TEC PSH-486,0,-1
TEC PSH-517,1,0
TEC PH-346,0,-8
FIL 1903629,0,-1
HYU 31911-22000,0,-37
LUB LH-5018,4,0
LPH-720,0,-10
LUB LAF-4502,0,-1
LUB L-8242-F,0,-1
TEC PC-945,0,-9
LUB LH-4166,1,0
TEC PSA-331,0,-3
TEC DSF-0202,8,0
TEC DSF-0203,0,-15
TEC PSL-598,0,-13
LR120-30MB,0,-6
TEC PSD-450/1,0,-6
TEC PSD-480/1,0,-1
TEC PSD-470/1,7,0
TEC FBT-2351,1,0
FLEE FS-19554,0,-1
PAR 690-30M M14,0,-1
LAN TJ-250-D102M,0,-1
LAN TJ-350-102M,1,0
PUM PQLA5W40,12,0
VAL 818474,0,-11
VAL VV838,0,-1
VAL 847654,0,-3
VAL 720624,5,0
CAS C2Q4T10W40,0,-2
SC-2989,1,0
VAL ZXRU1,0,-1
CAS CQCRBVIS25W60,6,0
CAS CQGTX10W30,12,0
CAS CQMAGD10W40,2,0
CAS CGMAGD10W40,1,0
CAS CGVECTON15W40,0,-1
CAS CQCRBG315W40,4,0
CAS CGD40,0,-1
VAL VV329,1,0
VAL 665854,1,0
VAL E15010602,0,-1
PUR 1205,0,-1
LUB 4634,0,-1
LB00259 CJ24UN,0,-12
LB00770 CJ12UN,1,0
LB00668 CJ06UN,0,-1
LB10759 CJ24X1,0,-2
LB00159 CJ24UN,12,0
LB02159 CJ24UN,1,0
LB01759 CJ24UN,0,-1
PUM PQLAM35,0,-10
PUR TO4 SAE 50,0,-1
CAS C2QRACING5W40,0,-1
VAL 875391,0,-43
VAL 875290,0,-83
PUM PQ-LAM4T20W50,6,0
PUM PQ-LAM10W40SB,0,-1
PUM PQ-LAM15W40,2,0
PUM PP-LAM15W40,0,-7
PUM PQ-LAM20W50,0,-5
PUM PQ-LAM5W40S,0,-11
SHE 000372,2,0
CAS C2QTRAMERMV,0,-15
VAL VV467,0,-2
VAL VV743,0,-1
VAL 884577,0,-30
VAL 874241,3,0
VAL 859865,3,0
VAL VV388,2,0
VAL 773634,0,-2
VAL 854097,4,0
VAL 847651,27,0
VAL MX387,0,-1
VAL 710992,0,-4
VAL 818473,1,0
VAL VV749,1,0
VAL VV825,12,0
VAL VV135,11,0
VAL 804751,0,-9
VAL 705233,0,-1
VAL VV296,1,0
VAL VV301,0,-74
VAL 773779,0,-1
VAL VV360,0,-100
VAL VV353,0,-378
VAL VV370,6,0
VAL 601458,3,0
VAL VV609,2,0
VAL MX896 FRAC,0,-4
VAL VV813,0,-1
VAL MX837,4,0
VAL 881807,0,-19
VAL MX827,1,0
VAL 720625,0,-2
VAL 880953,0,-12
VAL VV150,0,-1
VAL VV324,0,-30
VAL VV633,0,-16
VAL 774038,1,0
VAL VV955,24,0
VAL VV966,0,-3
VAL OCT-12,0,-1
VAL 679082,0,-1
VAL 675130,0,-3
BEP B070N,15,0
BEP B072R,0,-1
CIP 1677497,0,-4
ABR 1677497,4,0
BEP B069,1,0
FAL 30695,7,0
CIP 796363,0,-1
FAL 31302,0,-1
ABR 1466082,4,0
CIP 1466082,0,-4
AC-1000,0,-1
MKT 182,0,-10
SC-4442,2,0
SC 1363122,0,-2
NAK MG-19402,0,-1
NAK MG-19217,2,0
KOM 334015,1,0
KOM 48520,0,-6
KOM 48510,6,0
NAK SE-32760,0,-2
NAK AP-25001,1,0
NAK AC-25001,0,-1
NAK CT-30826,0,-1
NAK HG-33035,0,-2
NAK SE-31057A,0,-4
NAK HG-33037,0,-6
NAK HG-36037,6,0
NAK HG-30139,0,-4
NAK HG-33031,1,0
NAK SE-31091,0,-1
KOM 334176,0,-4
KOM 333209,1,0
KOM 334177,3,0
KOM 333210,0,-1
KOM 333198,1,0
KOM 334179,1,0
KOM 344300,2,0
KOM 443239,21,0
KOM 443240,0,-21
NAK HG-19217,0,-2
KOM 343292,1,0
KOM 343245,0,-4
KOM 48530,1,0
NAK HG-36035,2,0
NAK AC-25003,4,0
NAK AC-30728,2,0
NAK AP-25243,0,-2
NAK AC-30799,0,-4
KOM 334046,1,0
NAK HG-31039,4,0
NAK AC-30071,13,0
NAK MG-19003,0,-1
NAK MG-16718,0,-1
NAK MG-16954,0,-2
ROC 010808-1,0,-1
FAL 31392,2,0
FAL 100202,0,-1
CIP 355939,0,-9
FAL 30684,0,-11
FAL 30519,0,-1
FAL 34131,1,0
L64313,2,0
REI R-3021,1,0
FAL 104514,0,-1
FAL 06179,0,-100
BOE 0910,0,-3
FAL 07775,1,0
FAL 05017,100,0
FAL 31152,1,0
FAL 30208,0,-2
RYG 1385170,0,-45
RYG 3520504901,3,0
"MAH A48020 0,25",7,0
MAH A45020 050,4,0
COF NN.6307.010,0,-1
"MAH A48030 0,25",11,0
"MAH A48000 0,50",13,0
MAH A94100 STD,1,0
MAH A48030 STD,60,0
MAH A48000 STD,18,0
MAH A68010 STD,2,0
MAH A45020 STD,21,0
BEP M156V,0,-1
KS 800.019.122.050,200,0
KS 50.011.573,16,0
MAH A48101 050,26,0
MAH A48525 STD,0,-6
MAH A48515 STD,0,-12
MAH A48100 STD,0,-8
MAH A48990 STD,12,0
MAH A76060 STD,102,0
MAH A76990 STD,0,-1
MAH A76650 STD,27,0
NAK N-1021,1,0
FCS-SCFO-047 RH,0,-2
FCS-SCFO-047 LH,2,0
NAK NKBA-07627,4,0
NAK NKBA-07628,0,-6
SCH 20.195,0,-1
SCH 20.195A,0,-1
POL 10448,0,-4
POL 10441,1,0
POL 10440,0,-1
RIO 41.369.035,0,-4
RYG 352.130.0216,96,0
HUB 102.00004-0,1,0
RYG 3520304920,49,0
MAH BL76050,6,0
NAK N-2135,3,0
NAK N-2132,0,-1
NAK N-509,0,-5
SPI 01-336,0,-1
MAH G48016 STD,0,-6
KS 87.354.793,2,0
KS 87.354.893,0,-2
KS 87.314.694,0,-23
MAH G76529 STD,4,0
SAB 78928,0,-1
REI R-805,10,0
REI R-813,0,-10
FAL 45094,0,-1
SC-1192,3,0
REI R-393,0,-4
REI R-477,0,-36
REI R-453,0,-233
REI R-459,0,-1
REI R-749,2,0
"MAH H48034 0,50 SPA",0,-4
"MAH H48034 0,50",0,-20
MAH H48098 STD,0,-52
MAH H76020 0.50,1,0
MB-2208,0,-10
TOT T0254,0,-1
REI R-340,0,-15
SC 1377562,2,0
RYG 1377562,0,-2
REI R-838,1,0
RYG 362385,0,-1
MB-3134,0,-4
META 160023429,1,0
POL 60008,0,-1
POL 60007,1,0
SIE D15316,1,0
MON 1087962,1,0
MON 1087963,0,-1
CIP 323508,0,-104
FEB 05954,0,-10
SC-2048,0,-2
RYG 3520702732,1,0
RYG 3520702932,1,0
INC 01.01.0067,1,0
INC 01.01.0068,0,-1
FLEX MA103,9,0
BEP T001D,1,0
CAB 131435,0,-1
KS 89.711.190,0,-4
KS 89.712.190,1,0
MAH C48100 100,2,0
"MAH C-48100 1,50",6,0
MAH C-48100 0.30,0,-18
MAH C48100 STD,2,0
KS 89.390.110,0,-3
KS 88.476.110,0,-5
RYG 3094600708,1,0
LUBM 500M,0,-1
BRO 130524,0,-1
NAK NKCB-091,0,-5
FCS-SC075,3,0
FCS-SC058 RH,3,0
FCS-SC058 LH,3,0
NAK NC-08001,1,0
NAK NC-11001,1,0
KS 77.594.615,0,-3
KS 87.204.610,0,-3
KS 87.204.620,1,0
KS 77.596.630,3,0
KS 77.596.640,1,0
MAH M48375 025,0,-2
MAH M480853 0.25,6,0
"MAH M480852 0,50",6,0
MAH M48333 STD,2,0
MAH M0480853 STD,12,0
"MAH 76093 0,50",2,0
KS 77.596.600,7,0
MET BC-135-JSTD,0,-1
KS 87.393.600,0,-14
MAH B76082 025,2,0
KS 87.271.610,0,-12
RIO 55.017.270,1,0
KS 87.235.620,0,-2
KS 87.428.640,0,-4
