Empresa,Yhaguy
,
CIUDAD,DEPARTAMENTO
ASUNCION,CENTRAL
CONCEPCION,CONCEPCION
BELEN,CONCEPCION
HORQUETA,CONCEPCION
LORETO,CONCEPCION
SAN CARLOS,CONCEPCION
SAN LAZARO,CONCEPCION
YVY YA U,CONCEPCION
AZOTEY,CONCEPCION
SGTO. JOSE FELIX LOPEZ,CONCEPCION
SAN ALFREDO,CONCEPCION
PASO BARRETO,CONCEPCION
SAN PEDRO DEL YKUAMANDIYU,SAN PEDRO
ANTEQUERA,SAN PEDRO
CHORE,SAN PEDRO
GENERAL ELIZARDO AQUINO,SAN PEDRO
ITACURUBI DEL ROSARIO,SAN PEDRO
LIMA,SAN PEDRO
NUEVA GERMANIA,SAN PEDRO
SAN ESTANISLAO,SAN PEDRO
SAN PABLO,SAN PEDRO
TACUATI,SAN PEDRO
UNION,SAN PEDRO
25 DE DICIEMBRE,SAN PEDRO
VILLA DEL ROSARIO,SAN PEDRO
GENERAL RESQUIN,SAN PEDRO
YATAITY DEL NORTE,SAN PEDRO
GUAJAYVI,SAN PEDRO
CAPIIBARY,SAN PEDRO
SANTA ROSA DEL AGUARAY,SAN PEDRO
YRYVU CUA,SAN PEDRO
LIBERACION,SAN PEDRO
CAACUPE,CORDILLERA
ALTOS,CORDILLERA
ARROYOS Y ESTEROS,CORDILLERA
ATYRA,CORDILLERA
CARAGUATAY,CORDILLERA
EMBOSCADA,CORDILLERA
EUSEBIO AYALA,CORDILLERA
ISLA PUCU,CORDILLERA
ITACURUBI DE LA CORDILLERA,CORDILLERA
JUAN DE MENA,CORDILLERA
LOMA GRANDE,CORDILLERA
MBOCAYATY DEL YHAGUY,CORDILLERA
NUEVA COLOMBIA,CORDILLERA
PIRIBEBUY,CORDILLERA
PRIMERO DE MARZO,CORDILLERA
SAN BERNARDINO,CORDILLERA
SANTA ELENA,CORDILLERA
TOBATI,CORDILLERA
VALENZUELA,CORDILLERA
SAN JOSE OBRERO,CORDILLERA
VILLARRICA,GUAIRA
BORJA,GUAIRA
MAURICIO JOSE TROCHE,GUAIRA
CORONEL MARTINEZ,GUAIRA
FELIX PEREZ CARDOZO,GUAIRA
GENERAL EUGENIO A. GARAY,GUAIRA
COLONIA INDEPENDENCIA,GUAIRA
ITAPE,GUAIRA
ITURBE,GUAIRA
JOSE FASSARDI,GUAIRA
MBOCAYATY,GUAIRA
NATALICIO TALAVERA,GUAIRA
NUMI,GUAIRA
SAN SALVADOR,GUAIRA
YATAITY,GUAIRA
DR. BOTTRELL,GUAIRA
PASO YOBAI,GUAIRA
TEBICUARY,GUAIRA
CORONEL OVIEDO,CAAGUAZU
CAAGUAZU,CAAGUAZU
CARAYAO,CAAGUAZU
CECILIO BAEZ,CAAGUAZU
SANTA ROSA DEL MBUTUY,CAAGUAZU
DR. JUAN MANUEL FRUTOS,CAAGUAZU
REPATRIACION,CAAGUAZU
NUEVA LONDRES,CAAGUAZU
SAN JOAQUIN,CAAGUAZU
SAN JOSE DE LOS ARROYOS,CAAGUAZU
YHU,CAAGUAZU
J EULOGIO ESTIGARRIBIA,CAAGUAZU
R.I. 3 CORRALES,CAAGUAZU
RAUL ARSENIO OVIEDO,CAAGUAZU
JOSE DOMINGO OCAMPOS,CAAGUAZU
MCAL. FRANCISCO SOLANO LOPEZ,CAAGUAZU
LA PASTORA,CAAGUAZU
3 DE FEBRERO,CAAGUAZU
SIMON BOLIVAR,CAAGUAZU
VAQUERIA,CAAGUAZU
TEMBIAPORA,CAAGUAZU
NUEVA TOLEDO,CAAGUAZU
CAAZAPA,CAAZAPA
ABAI,CAAZAPA
BUENA VISTA,CAAZAPA
MOISES BERTONI,CAAZAPA
GENERAL HIGINIO MORINIGO,CAAZAPA
MACIEL,CAAZAPA
SAN JUAN NEPOMUCENO,CAAZAPA
TAVAI,CAAZAPA
FULGENCIO YEGROS,CAAZAPA
YUTY,CAAZAPA
3 DE MAYO,CAAZAPA
ENCARNACION,ITAPUA
BELLA VISTA,ITAPUA
CAMBYRETA,ITAPUA
CAPITAN MEZA,ITAPUA
CAPITAN MIRANDA,ITAPUA
NUEVA ALBORADA,ITAPUA
CARMEN DEL PARANA,ITAPUA
CORONEL BOGADO,ITAPUA
CARLOS ANTONIO LOPEZ,ITAPUA
NATALIO,ITAPUA
FRAM,ITAPUA
GENERAL ARTIGAS,ITAPUA
GENERAL DELGADO,ITAPUA
HOHENAU,ITAPUA
JESUS,ITAPUA
LEANDRO OVIEDO,ITAPUA
OBLIGADO,ITAPUA
MAYOR OTAÐO,ITAPUA
SAN COSME Y DAMIAN,ITAPUA
SAN PEDRO DEL PARANA,ITAPUA
SAN RAFAEL DEL PARANA,ITAPUA
TRINIDAD,ITAPUA
EDELIRA,ITAPUA
TOMAS ROMERO PEREIRA,ITAPUA
ALTO VERA,ITAPUA
LA PAZ,ITAPUA
YATYTAY,ITAPUA
SAN JUAN DEL PARANA,ITAPUA
PIRAPO,ITAPUA
ITAPUA POTY,ITAPUA
SAN JUAN BAUTISTA,MISIONES
AYOLAS,MISIONES
SAN IGNACIO,MISIONES
SAN MIGUEL,MISIONES
SAN PATRICIO,MISIONES
SANTA MARIA,MISIONES
SANTA ROSA,MISIONES
SANTIAGO,MISIONES
VILLA FLORIDA,MISIONES
YABEBYRY,MISIONES
PARAGUARI,PARAGUARI
ACAHAY,PARAGUARI
CAAPUCU,PARAGUARI
GENERAL BERNARDINO CABALLERO,PARAGUARI
CARAPEGUA,PARAGUARI
ESCOBAR,PARAGUARI
LA COLMENA,PARAGUARI
MBUYAPEY,PARAGUARI
PIRAYU,PARAGUARI
QUIINDY,PARAGUARI
QUYQUYHO,PARAGUARI
SAN ROQUE GONZALEZ,PARAGUARI
SAPUCAI,PARAGUARI
TEBICUARY-MI,PARAGUARI
YAGUARON,PARAGUARI
YBYCUI,PARAGUARI
YVYTIMI,PARAGUARI
CIUDAD DEL ESTE,ALTO PARANA
PRESIDENTE FRANCO,ALTO PARANA
DOMINGO MARTINEZ DE IRALA,ALTO PARANA
DR. JUAN LEON MALLORQUIN,ALTO PARANA
HERNANDARIAS,ALTO PARANA
ITAKYRY,ALTO PARANA
JUAN E. O┤LEARY,ALTO PARANA
NACUNDAY,ALTO PARANA
YGUAZU,ALTO PARANA
LOS CEDRALES,ALTO PARANA
MINGA GUAZU,ALTO PARANA
SAN CRISTOBAL,ALTO PARANA
SANTA RITA,ALTO PARANA
NARANJAL,ALTO PARANA
SANTA ROSA DEL MONDAY,ALTO PARANA
MINGA PORA,ALTO PARANA
MBARACAYU,ALTO PARANA
SAN ALBERTO,ALTO PARANA
IRUNA,ALTO PARANA
SANTA FE DEL PARANA,ALTO PARANA
TAVAPY,ALTO PARANA
DR. RAUL PENA,ALTO PARANA
AREGUA,CENTRAL
CAPIATA,CENTRAL
FERNANDO DE LA MORA,CENTRAL
GUARAMBARE,CENTRAL
ITA,CENTRAL
ITAUGUA,CENTRAL
LAMBARE,CENTRAL
LIMPIO,CENTRAL
LUQUE,CENTRAL
MARIANO ROQUE ALONSO,CENTRAL
NUEVA ITALIA,CENTRAL
ÐEMBY,CENTRAL
SAN ANTONIO,CENTRAL
SAN LORENZO,CENTRAL
VILLA ELISA,CENTRAL
VILLETA,CENTRAL
YPACARAI,CENTRAL
YPANE,CENTRAL
J AUGUSTO SALDIVAR,CENTRAL
PILAR,NEEMBUCU
ALBERDI,NEEMBUCU
CERRITO,NEEMBUCU
DESMOCHADOS,NEEMBUCU
GENERAL DIAZ,NEEMBUCU
GUAZU CUA,NEEMBUCU
HUMAITA,NEEMBUCU
ISLA UMBU,NEEMBUCU
LOS LAURELES,NEEMBUCU
MAYOR MARTINEZ,NEEMBUCU
PASO DE PATRIA,NEEMBUCU
SAN JUAN BAUTISTA DE ÐEEMBUCU,NEEMBUCU
TACUARAS,NEEMBUCU
VILLA FRANCA,NEEMBUCU
VILLA OLIVA,NEEMBUCU
VILLALBIN,NEEMBUCU
PEDRO JUAN CABALLERO,AMAMBAY
BELLA VISTA,AMAMBAY
CAPITAN BADO,AMAMBAY
ZANJA PYTA,AMAMBAY
KARAPA I,AMAMBAY
SALTOS DEL GUAIRA,CANINDEYU
CORPUS CHRISTI,CANINDEYU
CURUGUATY,CANINDEYU
VILLA YGATIMI,CANINDEYU
ITANARA,CANINDEYU
YPE JHU,CANINDEYU
FRANCISCO CABALLERO ALVAREZ,CANINDEYU
KATUETE,CANINDEYU
LA PALOMA,CANINDEYU
NUEVA ESPERANZA,CANINDEYU
YASY KANY,CANINDEYU
YBYRAROBANA,CANINDEYU
YBY PYTA,CANINDEYU
BENJAMIN ACEVAL,PRESIDENTE HAYES
PUERTO PINASCO,PRESIDENTE HAYES
VILLA HAYES,PRESIDENTE HAYES
NANAWA,PRESIDENTE HAYES
JOSE FALCON,PRESIDENTE HAYES
TTE 1RO MANUEL IRALA FERNANDEZ,PRESIDENTE HAYES
TTE. ESTEBAN MARTINEZ,PRESIDENTE HAYES
GRAL JOSE MARIA BRUGUEZ,PRESIDENTE HAYES
MARISCAL ESTIGARRIBIA,BOQUERON
FILADELFIA,BOQUERON
LOMA PLATA,BOQUERON
FUERTE OLIMPO,ALTO PARAGUAY
PUERTO CASADO,ALTO PARAGUAY
BAHIA NEGRA,ALTO PARAGUAY
CARMELO PERALTA,ALTO PARAGUAY
